医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市东城区第一人民医院,03110003,东城区,对外中医,二级甲等,北京市东城区永外大街130号、北京市东城区东晓市街109号
北京市东城区精神卫生保健院,01153001,东城区,对外专科,二级无等,北京市东城区东直门外察慈小区7号楼
北京市鼓楼中医医院,01151003,东城区,对外中医,三级无等,北京市东城区豆腐池胡同13号、北京市东城区和平里中街14－2号、北京市东城区新中街一条67号、北京市东城区安乐林路10号   
北京市和平里医院,01110008,东城区,对外中医,三级甲等,北京市东城区和平里北街18号，北京市东城区和平里西街19号楼一层12307号
北京医院,01110005,东城区,对外综合,三级甲等,北京市东城区东单大华路1号
北京中医药大学东直门医院 北京中医药大学第一临床医学院,01151001,东城区,对外中医,三级甲等,北京市东城区海运仓5号、台基厂3号、东四北大街279号、通州区翠屏西路116号、东直门北大街9号、北京市西城区西长安街80号、北京市东城区工体西路1号
首都医科大学附属北京妇产医院,01152001,东城区,对外专科,三级甲等,北京市东城区北池子大街骑河楼17号/朝阳区姚家园路251号
首都医科大学附属北京中医医院,01151002,东城区,对外中医,三级甲等,北京市东城区美术馆后街23号、61号；北京市东城区台基厂3号；丰台区西三环南路9号；海淀区中关村南大街17号1号；海淀区西四环中路16号院8号楼；朝阳区朝阳门南大街8号；朝阳区西大望路15号4号楼；朝阳区惠新东街甲6号；朝阳区朝阳门北大街22号；东城区北河沿大街147号；东城区和平里中街16号；朝阳区国家体育场北路1号院1号楼
中国医学科学院北京协和医院,01110003,东城区,对外综合,三级甲等,北京市东城区王府井帅府园1号、北京市西城区大木仓胡同41号
北京安德中医医院,01151067,东城区,对外中医,一级无等,北京市东城区安德路甲10号4楼101-2
北京安定门中医医院,01151011,东城区,对外中医,一级无等,北京市东城区安定门内大街47号
北京地坛口腔门诊部,01155003,东城区,对外专科,无等级,北京市东城区青年湖北里10号楼一层106-107号
北京国龙中医医院,03110007,东城区,对外中医,一级无等,北京市东城区珠市口东大街155号
北京国医堂中医研究院恒康中医门诊部,01151012,东城区,对外中医,无等级,北京市东城区东直门内北小街18号楼
北京国医药研究院天易中医门诊部,03151002,东城区,对外中医,无等级,北京市东城区金鱼池东区10号楼首层和半地下
北京华都中医医院,03151019,东城区,对外中医,一级无等,北京市东城区安化北里丙1号
北京健行中医医院,01151064,东城区,对外中医,一级无等,北京市东城区东四北大街248号
北京市崇文口腔医院,03155002,东城区,对外专科,一级甲等,北京市东城区东花市北里西区24号楼
北京市东城金针研究学会海运仓中医门诊部,01151009,东城区,对外中医,无等级,北京市东城区东直门内南小街20号楼1号
北京市东城区东花市社区卫生服务中心,03161002,东城区,对外综合,无等级,北京市东城区广渠家园13号楼
北京市东城区东外医院,01110016,东城区,对外综合,一级甲等,北京市东城区东直门外察慈小区7号楼
北京市东城区建国门社区卫生服务中心,01110015,东城区,对外综合,无等级,北京市东城区后赵家楼胡同9号
北京市东城区龙潭社区卫生服务中心,03161001,东城区,对外综合,无等级,北京市东城区光明中街25号
北京市东城区体育馆路社区卫生服务中心,03153001,东城区,对外综合,无等级,北京市东城区法华南里25号楼西侧
北京市东城区天坛社区卫生服务中心,03110005,东城区,对外综合,无等级,北京市东城区粉厂胡同57号、北京市东城区珠市口东大街2号107、108室
北京市东城区永定门外社区卫生服务中心,03110018,东城区,对外综合,无等级,北京市丰台区蒲黄榆二里2号院
北京市惠民医药卫生事业发展基金会北京炎黄中医医院,01151066,东城区,对外中医,一级无等,北京市东城区天坛路55号元隆大厦五层
国家体育总局运动医学研究所体育医院,03111001,东城区,对外专科,一级无等,北京市东城区体育馆路4号西门
北京市东城区和平里社区卫生服务中心,01162002,东城区,对外综合,无等级,北京市东城区小黄庄一区9-1号、北京市东城区黄寺大街甲8号9楼
首都医科大学中医门诊部,01151007,东城区,对外中医,无等级,北京市东城区东四十条27号
应急管理部机关医务室,01141005,东城区,对内,无等级,北京市东城区和平里北街21号
中央戏剧学院医务室,01141002,东城区,对内,无等级,北京市东城区东棉花胡同39号
北京市东城区安定门社区卫生服务中心,01162030,东城区,对外综合,无等级,北京市东城区永恒胡同6号
北京市东城区北新桥街道青龙社区卫生服务站,01162001,东城区,社区卫生站,无等级,北京市东城区东内北小街25号
北京市东城区北新桥街道十三条社区卫生服务站,01162029,东城区,社区卫生站,无等级,北京市东城区东四北大街168号内一层2112号
北京市东城区朝阳门街道大方家社区卫生服务站,01162014,东城区,社区卫生站,无等级,北京市东城区小牌坊胡同30号
北京市东城区朝阳门街道朝内头条社区卫生服务站,01162052,东城区,社区卫生站,无等级,北京市东城区朝内大街203号
北京市东城区朝阳门街道内务社区卫生服务站,01162025,东城区,社区卫生站,无等级,北京市东城区内务部73号
